run_date,region,time,mm
2026-07-21,수원시권선구,2026-07-20T00:00,0
2026-07-21,수원시권선구,2026-07-20T01:00,0
2026-07-21,수원시권선구,2026-07-20T02:00,0
2026-07-21,수원시권선구,2026-07-20T03:00,0
2026-07-21,수원시권선구,2026-07-20T04:00,0
2026-07-21,수원시권선구,2026-07-20T05:00,0.2
2026-07-21,수원시권선구,2026-07-20T06:00,2
2026-07-21,수원시권선구,2026-07-20T07:00,2.1
2026-07-21,수원시권선구,2026-07-20T08:00,6
2026-07-21,수원시권선구,2026-07-20T09:00,6.5
2026-07-21,수원시권선구,2026-07-20T10:00,2.1
2026-07-21,수원시권선구,2026-07-20T11:00,2.7
2026-07-21,수원시권선구,2026-07-20T12:00,2.6
2026-07-21,수원시권선구,2026-07-20T13:00,0.2
2026-07-21,수원시권선구,2026-07-20T14:00,0
2026-07-21,수원시권선구,2026-07-20T15:00,0
2026-07-21,수원시권선구,2026-07-20T16:00,0
2026-07-21,수원시권선구,2026-07-20T17:00,0
2026-07-21,수원시권선구,2026-07-20T18:00,0
2026-07-21,수원시권선구,2026-07-20T19:00,0
2026-07-21,수원시권선구,2026-07-20T20:00,0
2026-07-21,수원시권선구,2026-07-20T21:00,0
2026-07-21,수원시권선구,2026-07-20T22:00,0
2026-07-21,수원시권선구,2026-07-20T23:00,0.1
2026-07-21,성남시수정구,2026-07-20T00:00,0
2026-07-21,성남시수정구,2026-07-20T01:00,0
2026-07-21,성남시수정구,2026-07-20T02:00,0
2026-07-21,성남시수정구,2026-07-20T03:00,0
2026-07-21,성남시수정구,2026-07-20T04:00,0
2026-07-21,성남시수정구,2026-07-20T05:00,0.1
2026-07-21,성남시수정구,2026-07-20T06:00,0.9
2026-07-21,성남시수정구,2026-07-20T07:00,1.9
2026-07-21,성남시수정구,2026-07-20T08:00,3.2
2026-07-21,성남시수정구,2026-07-20T09:00,5.7
2026-07-21,성남시수정구,2026-07-20T10:00,2.9
2026-07-21,성남시수정구,2026-07-20T11:00,3.5
2026-07-21,성남시수정구,2026-07-20T12:00,4.2
2026-07-21,성남시수정구,2026-07-20T13:00,0.3
2026-07-21,성남시수정구,2026-07-20T14:00,0
2026-07-21,성남시수정구,2026-07-20T15:00,0
2026-07-21,성남시수정구,2026-07-20T16:00,0
2026-07-21,성남시수정구,2026-07-20T17:00,0
2026-07-21,성남시수정구,2026-07-20T18:00,0
2026-07-21,성남시수정구,2026-07-20T19:00,0
2026-07-21,성남시수정구,2026-07-20T20:00,0.5
2026-07-21,성남시수정구,2026-07-20T21:00,0.9
2026-07-21,성남시수정구,2026-07-20T22:00,0.2
2026-07-21,성남시수정구,2026-07-20T23:00,0.5
2026-07-22,수원시권선구,2026-07-21T00:00,0
2026-07-22,수원시권선구,2026-07-21T01:00,0
2026-07-22,수원시권선구,2026-07-21T02:00,0
2026-07-22,수원시권선구,2026-07-21T03:00,0
2026-07-22,수원시권선구,2026-07-21T04:00,0
2026-07-22,수원시권선구,2026-07-21T05:00,0
2026-07-22,수원시권선구,2026-07-21T06:00,0.1
2026-07-22,수원시권선구,2026-07-21T07:00,0.5
2026-07-22,수원시권선구,2026-07-21T08:00,2
2026-07-22,수원시권선구,2026-07-21T09:00,1.7
2026-07-22,수원시권선구,2026-07-21T10:00,0.4
2026-07-22,수원시권선구,2026-07-21T11:00,0.7
2026-07-22,수원시권선구,2026-07-21T12:00,1.3
2026-07-22,수원시권선구,2026-07-21T13:00,3
2026-07-22,수원시권선구,2026-07-21T14:00,2.5
2026-07-22,수원시권선구,2026-07-21T15:00,4
2026-07-22,수원시권선구,2026-07-21T16:00,1.6
2026-07-22,수원시권선구,2026-07-21T17:00,0
2026-07-22,수원시권선구,2026-07-21T18:00,0
2026-07-22,수원시권선구,2026-07-21T19:00,0
2026-07-22,수원시권선구,2026-07-21T20:00,0
2026-07-22,수원시권선구,2026-07-21T21:00,0
2026-07-22,수원시권선구,2026-07-21T22:00,0
2026-07-22,수원시권선구,2026-07-21T23:00,0
2026-07-22,성남시수정구,2026-07-21T00:00,0.1
2026-07-22,성남시수정구,2026-07-21T01:00,0
2026-07-22,성남시수정구,2026-07-21T02:00,0
2026-07-22,성남시수정구,2026-07-21T03:00,0
2026-07-22,성남시수정구,2026-07-21T04:00,0
2026-07-22,성남시수정구,2026-07-21T05:00,0
2026-07-22,성남시수정구,2026-07-21T06:00,0
2026-07-22,성남시수정구,2026-07-21T07:00,0.4
2026-07-22,성남시수정구,2026-07-21T08:00,1.2
2026-07-22,성남시수정구,2026-07-21T09:00,2.3
2026-07-22,성남시수정구,2026-07-21T10:00,0.9
2026-07-22,성남시수정구,2026-07-21T11:00,1.3
2026-07-22,성남시수정구,2026-07-21T12:00,2.4
2026-07-22,성남시수정구,2026-07-21T13:00,4.8
2026-07-22,성남시수정구,2026-07-21T14:00,5.3
2026-07-22,성남시수정구,2026-07-21T15:00,2.8
2026-07-22,성남시수정구,2026-07-21T16:00,1.1
2026-07-22,성남시수정구,2026-07-21T17:00,0
2026-07-22,성남시수정구,2026-07-21T18:00,0
2026-07-22,성남시수정구,2026-07-21T19:00,0
2026-07-22,성남시수정구,2026-07-21T20:00,0
2026-07-22,성남시수정구,2026-07-21T21:00,0
2026-07-22,성남시수정구,2026-07-21T22:00,0
2026-07-22,성남시수정구,2026-07-21T23:00,0
2026-07-23,수원시권선구,2026-07-22T00:00,0
2026-07-23,수원시권선구,2026-07-22T01:00,0
2026-07-23,수원시권선구,2026-07-22T02:00,0
2026-07-23,수원시권선구,2026-07-22T03:00,0
2026-07-23,수원시권선구,2026-07-22T04:00,0
2026-07-23,수원시권선구,2026-07-22T05:00,0
2026-07-23,수원시권선구,2026-07-22T06:00,0
2026-07-23,수원시권선구,2026-07-22T07:00,0
2026-07-23,수원시권선구,2026-07-22T08:00,0.2
2026-07-23,수원시권선구,2026-07-22T09:00,0
2026-07-23,수원시권선구,2026-07-22T10:00,0
2026-07-23,수원시권선구,2026-07-22T11:00,0
2026-07-23,수원시권선구,2026-07-22T12:00,0
2026-07-23,수원시권선구,2026-07-22T13:00,0
2026-07-23,수원시권선구,2026-07-22T14:00,0.3
2026-07-23,수원시권선구,2026-07-22T15:00,1.5
2026-07-23,수원시권선구,2026-07-22T16:00,0.6
2026-07-23,수원시권선구,2026-07-22T17:00,0.3
2026-07-23,수원시권선구,2026-07-22T18:00,0.2
2026-07-23,수원시권선구,2026-07-22T19:00,0.6
2026-07-23,수원시권선구,2026-07-22T20:00,1.4
2026-07-23,수원시권선구,2026-07-22T21:00,1.2
2026-07-23,수원시권선구,2026-07-22T22:00,0.4
2026-07-23,수원시권선구,2026-07-22T23:00,0.2
2026-07-23,성남시수정구,2026-07-22T00:00,0
2026-07-23,성남시수정구,2026-07-22T01:00,0
2026-07-23,성남시수정구,2026-07-22T02:00,0
2026-07-23,성남시수정구,2026-07-22T03:00,0
2026-07-23,성남시수정구,2026-07-22T04:00,0
2026-07-23,성남시수정구,2026-07-22T05:00,0
2026-07-23,성남시수정구,2026-07-22T06:00,0
2026-07-23,성남시수정구,2026-07-22T07:00,0
2026-07-23,성남시수정구,2026-07-22T08:00,0
2026-07-23,성남시수정구,2026-07-22T09:00,0
2026-07-23,성남시수정구,2026-07-22T10:00,0
2026-07-23,성남시수정구,2026-07-22T11:00,0.1
2026-07-23,성남시수정구,2026-07-22T12:00,0
2026-07-23,성남시수정구,2026-07-22T13:00,0
2026-07-23,성남시수정구,2026-07-22T14:00,0
2026-07-23,성남시수정구,2026-07-22T15:00,0.2
2026-07-23,성남시수정구,2026-07-22T16:00,0
2026-07-23,성남시수정구,2026-07-22T17:00,0.1
2026-07-23,성남시수정구,2026-07-22T18:00,0.3
2026-07-23,성남시수정구,2026-07-22T19:00,0
2026-07-23,성남시수정구,2026-07-22T20:00,0.1
2026-07-23,성남시수정구,2026-07-22T21:00,0.3
